inital height off ground (cm),time (sec),volume collected (ml),power (Watts)
45.0,4.90,760,11.1
45.0,4.97,680,11.1
45.0,4.87,760,11.0
45.0,4.62,770,11
45.0,4.69,740,11
45.0,4.28,690,11
45.0,4.1,660,11
45.0,4.68,750,11
45.0,4.53,750,11.3
45.0,4.25,710,11.2
56,4.81,710,10.8
56,4.53,660,10.8
56,4.19,660,11
56,4.41,670,10.8
56,4.28,640,10.8
56,4.56,700,11
56,4.56,670,10.8
56,4.68,680,10.9
56,4.44,710,11
56,4.34,690,11
75.5,4.81,640,10.5
75.5,4.37,610,10.6
75.5,4.09,520,10.5
75.5,3.94,560,10.6
75.5,4.53,630,10.6
75.5,3.94,550,10.5
75.5,4.35,580,10.5
75.5,4.28,560,10.6
75.5,4.47,600,10.5
75.5,4.22,560,10.5
117,4.56,450,9.6
117,4.53,420,9.5
117,4.53,430,9.5
117,4.13,390,9.6
117,4.19,400,9.5
117,4.85,490,9.6
117,4.41,390,9.5
117,5.00,480,9.5
117,4.12,400,9.5
117,5.28,510,9.6
148,4.44,260,8.7
148,4.69,260,8.7
148,4.75,250,8.7
148,4.87,260,8.7
148,4.69,260,8.7
148,5.03,270,8.7
148,4.75,270,8.7
148,4.66,250,8.7
148,4.87,260,8.7
148,4.88,270,8.7