Config,Height (cm),Time,Volume ,Power (W) - left on 
1,59,5.25,530,9.6
1,59,5.25,540,9.5
1,59,5.28,530,9.5
1,59,5.41,540,9.5
1,59,5.5,520,9.5
1,59,5.62,550,9.5
1,59,5.25,530,9.5
1,59,5.53,530,9.5
1,59,5.59,510,9.5
1,59,5.41,550,9.5
2,86,5.94,420,9.1
2,86,5.71,410,9
2,86,5.69,410,9.1
2,86,5.62,420,9.1
2,86,6.2,410,9
2,86,5.25,360,9
2,86,5.34,390,9
2,86,5.63,390,9
2,86,5.75,410,9.1
2,86,5.88,420,9.11
3,111.5,5.54,300,8.7
3,111.5,5.41,280,8.8
3,111.5,5.72,300,8.7
3,111.5,5.59,270,8.7
3,111.5,5.78,300,8.7
3,111.5,5.69,300,8.7
3,111.5,5.56,310,8.7
3,111.5,5.37,290,8.7
3,111.5,5.37,300,8.7
3,111.5,5.78,310,8.7
4,112,6.53,190,8.2
4,112,5.31,150,8.2
4,112,6.93,190,8.2
4,112,7.06,190,8.3
4,112,7.06,180,8.3
4,112,6.97,190,8.2
4,112,7.59,200,8.2
4,112,7.34,200,8.3
4,112,7.56,190,8.2
4,112,7.72,200,8.2